country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Djibouti,11622,0,155,0,11457,0,183068,1002935,3414,11622,155,11457,86384.0,47887.0,11701.0,0.0,16563.0
Dominica,206,0,0,0,195,0,20575,72172,8001,0,0,0,847647.0,556169.0,291478.0,6417.0,40756.0
Dominican Republic,337147,0,3915,0,278707,0,1792584,10961113,8282,33714,391,27870,444885419.0,293807048.0,149863312.0,7590812.0,9065437.0
Ecuador,475215,0,21933,0,437167,0,1605583,17921506,6222,27953,1290,25715,216783054.0,152696017.0,64087037.0,5500242.0,6844167.0
El Salvador,82852,0,2484,0,75136,0,1106352,6520299,4167,13808,414,12522,94508069.0,61970384.0,31103048.0,1687821.0,3376802.0
Equatorial Guinea,8828,0,123,0,8591,0,149330,1450675,8419,8828,123,8591,4931661.0,2891359.0,1770320.0,0.0,273185.0
Estonia,131848,41,1271,0,128110,0,1585697,1327465,23717,131848,1271,128110,80350903.0,52896762.0,27454141.0,1056099.0,1042306.0
Eswatini,21062,0,703,0,18768,0,237295,1172663,3894,21062,703,18768,611797.0,511214.0,100583.0,5117.0,70849.0
Ethiopia,277615,0,4354,0,262265,0,2951438,117916111,855,2372,37,2241,140807601.0,64425977.0,0.0,1051920.0,1751318.0
Fiji,16471,0,85,0,3377,0,263820,903209,6175,0,0,0,2346629.0,2151803.0,194826.0,28295.0,403222.0
Finland,100156,180,978,0,46000,0,5667343,5549693,48711,20031,195,9200,277362890.0,225003491.0,51856165.0,3664075.0,4986738.0
France,5855198,0,111467,0,5658554,0,98202524,65424061,40380,90079,1714,87054,4048759768.0,2734881532.0,1341924272.0,63174840.0,61374571.0
Gabon,25260,0,162,0,24973,0,936707,2280203,7767,12630,81,12486,464725.0,321337.0,143388.0,1486.0,68934.0
Gambia (Republic of The),6610,0,188,0,5991,0,89338,2487001,777,3305,94,2995,329123.0,284217.0,44906.0,0.0,44288.0
